#,Query,Answer,Intent,Kind,URL,Confidence
21,Do you offer gift vouchers?,"**Gift Vouchers**: Digital photography gift vouchers are available from £5-£600, perfect for any photography enthusiast. Vouchers can be used for workshops, courses, private lessons, or any photograph",advice,article,https://www.alanranger.com/photography-services-near-me/photography-gift-vouchers,0.88
22,What is your cancellation or refund policy for courses/workshops?,"**RPS Courses - Independent RPS Mentoring for RPS Distinctions** — £395

>RPS Courses - Independant RPS Mentoring for RPS Distinctions - Start anytime, you select six online Zoom sessions within twelv",events,event,https://www.alanranger.com/photography-services-near-me/rps-mentoring-photography-course,0.95
23,How do I subscribe to the free online photography course?,"/ 0  /searchBack photography courses coventry  Which Photography Courses Are Best For Me? Course Calendar  Beginners Photography Course  Free Online Photography Course  Beginners Lightroom Course  RPS",advice,landing,https://www.alanranger.com/free-online-photography-course,0.9
24,Where is your gallery and can I submit my images for feedback?,"**FINDING YOUR COMPOSITIONAL BALANCE: A GUIDE FOR BEGINNER'S**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/finding-your-compositional-balance*

",advice,article,https://www.alanranger.com/blog-on-photography/guide-preparing-for-your-photography-workshop,0.9
25,What ethical guidelines do you follow as a photography tutor?,"**WHAT IS FRAMING IN PHOTOGRAPHY: A GUIDE FOR BEGINNERS**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/what-is-framing-in-photography*

",advice,article,https://www.alanranger.com/blog-on-photography/5-stages-to-improve-your-photography,0.9
26,What courses do you offer for complete beginners?,"**Beginners Photography Course | 3 Weekly Evening Classes** — £150

Beginners Photography Course Coventry Summary - Camera Courses For Beginners - Key Information Location: 45 Hathaway Road, Tile Hill",events,event,https://www.alanranger.com/photography-services-near-me/beginners-photography-course,0.95
27,Do you run evening classes in Coventry?,"**Beginners Photography Course | 3 Weekly Evening Classes** — £150

Beginners Photography Course Coventry Summary - Camera Courses For Beginners - Key Information Location: 45 Hathaway Road, Tile Hill",events,event,https://www.alanranger.com/photography-services-near-me/beginners-photography-course,0.95
28,How many weeks is the beginners’ photography course?,"**Beginners Photography Course | 3 Weekly Evening Classes** — £150

Beginners Photography Course Coventry Summary - Camera Courses For Beginners - Key Information Location: 45 Hathaway Road, Tile Hill",events,event,https://www.alanranger.com/photography-services-near-me/beginners-photography-course,0.95
29,Can I just take the “Get Off Auto” class as a standalone?,"**RPS Courses - Independent RPS Mentoring for RPS Distinctions** — £395

>RPS Courses - Independant RPS Mentoring for RPS Distinctions - Start anytime, you select six online Zoom sessions within twelv",events,event,https://www.alanranger.com/photography-services-near-me/rps-mentoring-photography-course,0.95
30,What topics are covered in the 5-week beginner course?,"**RPS Courses - Independent RPS Mentoring for RPS Distinctions** — £395

>RPS Courses - Independant RPS Mentoring for RPS Distinctions - Start anytime, you select six online Zoom sessions within twelv",events,event,https://www.alanranger.com/photography-services-near-me/rps-mentoring-photography-course,0.95
31,What if I miss one of the weekly classes—can I make it up?,"**Beginners Photography Course | 3 Weekly Evening Classes** — £150

Beginners Photography Course Coventry Summary - Camera Courses For Beginners - Key Information Location: 45 Hathaway Road, Tile Hill",events,event,https://www.alanranger.com/photography-services-near-me/beginners-photography-course,0.95
32,Do you offer online or Zoom lessons / mentoring?,"**RPS Courses - Independent RPS Mentoring for RPS Distinctions** — £395

>RPS Courses - Independant RPS Mentoring for RPS Distinctions - Start anytime, you select six online Zoom sessions within twelv",events,event,https://www.alanranger.com/photography-services-near-me/rps-mentoring-photography-course,0.95
33,How much do 1-2-1 private lessons cost?,"The workshop costs **£395**. This includes all tuition, guidance, and any materials provided during the session.",events,event,https://www.alanranger.com/photography-services-near-me/rps-mentoring-photography-course,0.95
34,Do you offer residential workshops or multi-day field trips?,"**The Art of GARDEN PHOTOGRAPHY  - Coventry -  May and July** — £35

Elevate Your Garden Photography Skills With Garden",events,event,https://www.alanranger.com/photo-workshops-uk/garden-photography-workshop,0.95
35,How many students per workshop / class?,"**RPS Courses - Independent RPS Mentoring for RPS Distinctions** — £395

>RPS Courses - Independant RPS Mentoring for RPS Distinctions - Start anytime, you select six online Zoom sessions within twelv",events,event,https://www.alanranger.com/photography-services-near-me/rps-mentoring-photography-course,0.95
36,What gear or equipment do I need to bring to a workshop?,"**The Art of GARDEN PHOTOGRAPHY  - Coventry -  May and July** — £35

Elevate Your Garden Photography Skills With Garden",events,event,https://www.alanranger.com/photo-workshops-uk/garden-photography-workshop,0.95
37,Can I sign up to monthly mentoring assignments?,"**Private Lessons & Mentoring**: Alan offers face-to-face private photography lessons in Coventry (CV4 9HW) or at a location of your choice. Lessons are bespoke to your needs and available at times th",advice,article,https://www.alanranger.com/photography-services-near-me/monthly-online-photography-mentoring,0.9
38,Do you offer Lightroom / post-processing courses?,"**Lightroom Courses for Beginners Photo Editing - Coventry** — £150

>For those who want to implement the best workflow for image management and all the dos and don'ts of post-production with these Ph",events,event,https://www.alanranger.com/photography-services-near-me/lightroom-courses-for-beginners-coventry,0.95
39,What is RPS Mentoring,"**WHAT IS FRAMING IN PHOTOGRAPHY: A GUIDE FOR BEGINNERS**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/what-is-framing-in-photography*

",advice,article,https://www.alanranger.com/blog-on-photography/rps-distinctions-group-cfp5t,0.9
40,Are there any prerequisites for advanced courses?,"**RPS Courses - Independent RPS Mentoring for RPS Distinctions** — £395

>RPS Courses - Independant RPS Mentoring for RPS Distinctions - Start anytime, you select six online Zoom sessions within twelv",events,event,https://www.alanranger.com/photography-services-near-me/rps-mentoring-photography-course,0.95
41,Do you do property photography / real estate photography?,"**HOW TO IMPROVE YOUR PHOTOGRAPHY COMPOSITION: A GUIDE**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/how-to-improve-your-photography-composition*

",advice,article,https://www.alanranger.com/blog-on-photography/5-stages-to-improve-your-photography,0.9
42,Can you do product photography for my e-commerce store?,"**THE BEST PRODUCT PHOTOGRAPHY TRIPOD: REVIEW AND FEATURES**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/best-product-photography-tripod*

",advice,article,https://www.alanranger.com/blog-on-photography/guide-preparing-for-your-photography-workshop,0.9
43,What is your pricing structure for portrait / headshot work?,"**WHAT IS FRAMING IN PHOTOGRAPHY: A GUIDE FOR BEGINNERS**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/what-is-framing-in-photography*

",advice,article,https://www.alanranger.com/blog-on-photography/what-is-framing-in-photography,0.9
44,Do you train staff in corporate photography for businesses?,"Here are Alan's guides that match your question:
",advice,article,https://www.alanranger.com/blog-on-photography/guide-preparing-for-your-photography-workshop,0.9
45,How far will you travel for a shoot (within UK / internationally)?,"Here are Alan's guides that match your question:
",advice,article,https://www.alanranger.com/blog-on-photography/virtual-bluebell-photoshoot,0.9
46,Do you provide retouching / editing services?,"**2025 PHOTO EDITING SOFTWARE: WHICH ONE IS RIGHT FOR YOU**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/photo-editing-software*

",advice,article,https://www.alanranger.com/blog-on-photography/photo-editing-software,0.9
47,Can I order fine art prints from you?,"Here are Alan's guides that match your question:
",advice,article,https://www.alanranger.com/photography-services-near-me/fine-art-photography-prints-canvas,0.9
48,What is your turnaround time for delivering images?,"**WHAT IS FRAMING IN PHOTOGRAPHY: A GUIDE FOR BEGINNERS**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/what-is-framing-in-photography*

",advice,article,https://www.alanranger.com/blog-on-photography/guide-preparing-for-your-photography-workshop,0.9
49,Do you provide usage rights or licensing for your photos?,"**FINDING YOUR COMPOSITIONAL BALANCE: A GUIDE FOR BEGINNER'S**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/finding-your-compositional-balance*

",advice,article,https://www.alanranger.com/blog-on-photography/guide-preparing-for-your-photography-workshop,0.9
50,Can I commission you for a commercial photography project?,"**FIVE CREATIVE AUTUMN PHOTOGRAPHY PROJECTS: TO INSPIRE YOU**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/five-creative-autumn-photography-projects*

",advice,article,https://www.alanranger.com/blog-on-photography/guide-preparing-for-your-photography-workshop,0.9
51,How do I book a course or workshop?,"**RPS Courses - Independent RPS Mentoring for RPS Distinctions** — £395

>RPS Courses - Independant RPS Mentoring for RPS Distinctions - Start anytime, you select six online Zoom sessions within twelv",events,event,https://www.alanranger.com/photography-services-near-me/rps-mentoring-photography-course,0.95
52,What payment options are available?,"**12 WHAT ARE CAMERA DRIVE MODES: A GUIDE FOR BEGINNERS**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/what-are-camera-drive-modes*

",advice,article,https://www.alanranger.com/blog-on-photography/what-are-leading-lines-in-photography,0.9
53,Do you offer payment plans or spreading the cost?,"**Payment Plans**: Alan Ranger Photography offers ""Pick N Mix"" payment plans to help spread the cost of courses and workshops. Full terms and conditions for payment options are detailed in the [Terms ",advice,article,https://www.alanranger.com/photography-services-near-me/quarterly-pick-n-mix-subscription,0.9
54,What happens if a course is canceled due to low enrolment or weather?,"**RPS Courses - Independent RPS Mentoring for RPS Distinctions** — £395

>RPS Courses - Independant RPS Mentoring for RPS Distinctions - Start anytime, you select six online Zoom sessions within twelv",events,event,https://www.alanranger.com/photography-services-near-me/rps-mentoring-photography-course,0.95
55,What are the location details for your courses (venues,"The workshop is held at **Online - Virtual Class - Zoom Meeting**. Full location details and meeting instructions will be provided when you book.",events,event,https://www.alanranger.com/photography-services-near-me/rps-mentoring-photography-course,0.95
56,Are there discounts for multiple bookings (e.g. bundle deals)?,"**Booking and Cancellation**: For course changes, please notify at least four weeks in advance. Alan Ranger Photography has comprehensive booking terms and conditions, public liability insurance, and ",advice,article,https://www.alanranger.com/blog-on-photography/kase-filters-and-lightroom-queen-deals,0.9
57,If a workshop is outdoors,"**The Art of GARDEN PHOTOGRAPHY  - Coventry -  May and July** — £35

Elevate Your Garden Photography Skills With Garden",events,event,https://www.alanranger.com/photo-workshops-uk/garden-photography-workshop,0.95
58,Can I change the date of my booking?,"**Booking and Cancellation**: For course changes, please notify at least four weeks in advance. Alan Ranger Photography has comprehensive booking terms and conditions, public liability insurance, and ",advice,article,https://www.alanranger.com/photo-workshops-uk/landscape-photography-devon-hartland-quay,0.9
59,How early should I arrive before a class or workshop begins?,"**RPS Courses - Independent RPS Mentoring for RPS Distinctions** — £395

>RPS Courses - Independant RPS Mentoring for RPS Distinctions - Start anytime, you select six online Zoom sessions within twelv",events,event,https://www.alanranger.com/photography-services-near-me/rps-mentoring-photography-course,0.95
60,Do you require a deposit,"I couldn't find a specific guide for that yet.",advice,-,,0.1
61,How do I choose between shooting JPEG vs RAW?,"**13 JPEG VS RAW: THE KEY DIFFERENCES: A GUIDE FOR BEGINNERS**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/jpeg-vs-raw-the-key-differences*

",advice,article,https://www.alanranger.com/blog-on-photography/jpeg-vs-raw-the-key-differences,0.9
62,What is the exposure triangle (aperture,"**05 WHAT IS MANUAL EXPOSURE IN PHOTOGRAPHY:GUIDE FOR BEGINNER**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/what-is-manual-exposure-in-photography*

",advice,article,https://www.alanranger.com/blog-on-photography/what-is-manual-exposure-in-photography,0.9
63,How do I improve my composition and storytelling in photos?,"**HOW TO TAKE LONG EXPOSURE PHOTOS: A GUIDE FOR BEGINNERS**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/how-to-take-long-exposure-photos*

",advice,article,https://www.alanranger.com/blog-on-photography/how-to-take-long-exposure-photos,0.9
64,When should I use ND filters or graduated filters?,"**WHAT DO CAMERA LENS FILTERS DO: A GUIDE FOR BEGINNERS**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/what-do-camera-lens-filters-do*

",advice,article,https://www.alanranger.com/blog-on-photography/what-do-camera-lens-filters-do,0.9
65,What is depth of field,"**09 WHAT IS DEPTH OF FIELD IN PHOTOGRAPHY: A BEGINNERS GUIDE**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/what-is-depth-of-field*

",advice,article,https://www.alanranger.com/blog-on-photography/what-is-depth-of-field,0.9
66,What is white balance and how do I use it?,"**WHAT IS FRAMING IN PHOTOGRAPHY: A GUIDE FOR BEGINNERS**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/what-is-framing-in-photography*

",advice,article,https://www.alanranger.com/blog-on-photography/what-is-framing-in-photography,0.9
67,How do I focus manually vs autofocus?,"**05 WHAT IS MANUAL EXPOSURE IN PHOTOGRAPHY:GUIDE FOR BEGINNER**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/what-is-manual-exposure-in-photography*

",advice,article,https://www.alanranger.com/blog-on-photography/what-is-manual-exposure-in-photography,0.9
68,What is the difference between prime and zoom lenses?,"**WHAT DO CAMERA LENS FILTERS DO: A GUIDE FOR BEGINNERS**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/what-do-camera-lens-filters-do*

",advice,event,https://www.alanranger.com/photography-services-near-me/private-online-photography-classes-zoom,0.9
69,How do I use flash photography?,"**HOW TO IMPROVE YOUR PHOTOGRAPHY COMPOSITION: A GUIDE**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/how-to-improve-your-photography-composition*

",advice,article,https://www.alanranger.com/blog-on-photography/5-stages-to-improve-your-photography,0.9
70,What is HDR photography?,"**WHAT IS FRAMING IN PHOTOGRAPHY: A GUIDE FOR BEGINNERS**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/what-is-framing-in-photography*

",advice,article,https://www.alanranger.com/blog-on-photography/what-is-framing-in-photography,0.9
71,How do I shoot in low light?,"Here are Alan's guides that match your question:
",advice,article,https://www.alanranger.com/blog-on-photography/shooting-in-low-light,0.9
72,What memory card should I buy?,"**WHAT IS FRAMING IN PHOTOGRAPHY: A GUIDE FOR BEGINNERS**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/what-is-framing-in-photography*

",advice,article,https://www.alanranger.com/blog-on-photography/which-lens-should-i-buy-next,0.9
73,Do I need a camera bag?,"**WHAT DO CAMERA LENS FILTERS DO: A GUIDE FOR BEGINNERS**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/what-do-camera-lens-filters-do*

",advice,event,https://www.alanranger.com/photography-services-near-me/photo-print-preparation-service-30min,0.9
74,What is the best lens for portraits?,"**WHAT DO CAMERA LENS FILTERS DO: A GUIDE FOR BEGINNERS**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/what-do-camera-lens-filters-do*

",advice,article,https://www.alanranger.com/blog-on-photography/what-do-camera-lens-filters-do,0.9
75,Should I buy a full-frame or crop sensor camera?,"**WHAT DO CAMERA LENS FILTERS DO: A GUIDE FOR BEGINNERS**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/what-do-camera-lens-filters-do*

",advice,event,https://www.alanranger.com/photography-services-near-me/photo-print-preparation-service-30min,0.9
76,What accessories do I need for landscape photography?,"**WHAT IS FRAMING IN PHOTOGRAPHY: A GUIDE FOR BEGINNERS**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/what-is-framing-in-photography*

",advice,article,https://www.alanranger.com/blog-on-photography/what-is-framing-in-photography,0.9
77,What is Lightroom vs Photoshop?,"**Equipment Recommendations:**

Choosing the right editing software depends on several factors: intended usage, experience level. Lightroom is great for organization and basic editing, while Photoshop",advice,article,https://www.alanranger.com/blog-on-photography/learn-how-to-use-lightroom,0.9
78,How do I edit RAW files?,"**13 JPEG VS RAW: THE KEY DIFFERENCES: A GUIDE FOR BEGINNERS**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/jpeg-vs-raw-the-key-differences*

",advice,article,https://www.alanranger.com/blog-on-photography/jpeg-vs-raw-the-key-differences,0.9
79,What is color grading?,"**WHAT IS FRAMING IN PHOTOGRAPHY: A GUIDE FOR BEGINNERS**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/what-is-framing-in-photography*

",advice,article,https://www.alanranger.com/blog-on-photography/what-is-framing-in-photography,0.9
80,How do I remove unwanted objects from photos?,"**HOW TO BACK UP PHOTOS: THE BEST 3-2-1 BACKUP METHOD GUIDE**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/how-to-back-up-photos*

",advice,article,https://www.alanranger.com/blog-on-photography/how-to-back-up-photos,0.9
81,What are presets and how do I use them?,"**12 WHAT ARE CAMERA DRIVE MODES: A GUIDE FOR BEGINNERS**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/what-are-camera-drive-modes*

",advice,article,https://www.alanranger.com/blog-on-photography/what-are-leading-lines-in-photography,0.9
82,How much do you charge for headshots?,"**HOW MUCH DO PHOTOGRAPHERS EARN: 2025 INDUSTRY REPORT UK**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/how-much-do-photographers-earn*

",advice,article,https://www.alanranger.com/blog-on-photography/how-much-do-photographers-earn,0.9
83,Do you travel for photography sessions?,"Here are Alan's guides that match your question:
",advice,article,https://www.alanranger.com/blog-on-photography/guide-preparing-for-your-photography-workshop,0.9
84,What is your turnaround time?,"**WHAT IS FRAMING IN PHOTOGRAPHY: A GUIDE FOR BEGINNERS**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/what-is-framing-in-photography*

",advice,article,https://www.alanranger.com/blog-on-photography/struggle-to-see-your-camera-screen,0.9
85,Do you offer group discounts?,"Here are Alan's guides that match your question:
",advice,article,https://www.alanranger.com/blog-on-photography/rps-distinctions-group-cfp5t,0.5499999999999999
86,Can you teach my staff photography?,"**HOW TO IMPROVE YOUR PHOTOGRAPHY COMPOSITION: A GUIDE**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/how-to-improve-your-photography-composition*

",advice,article,https://www.alanranger.com/blog-on-photography/5-stages-to-improve-your-photography,0.9
87,What is included in the beginner course?,"**RPS Courses - Independent RPS Mentoring for RPS Distinctions** — £395

>RPS Courses - Independant RPS Mentoring for RPS Distinctions - Start anytime, you select six online Zoom sessions within twelv",events,event,https://www.alanranger.com/photography-services-near-me/rps-mentoring-photography-course,0.95
88,How long are your workshops?,"**Fireworks Photography Workshop | Long Exposure | Kenilworth** — £75

Fireworks Photography Workshop - Long exposure and fireworks. Learn about camera settings, exposure use and composition.",events,event,https://www.alanranger.com/photo-workshops-uk/fireworks-photography-workshop-kenilworth,0.95
89,Do you provide course materials?,"**RPS Courses - Independent RPS Mentoring for RPS Distinctions** — £395

>RPS Courses - Independant RPS Mentoring for RPS Distinctions - Start anytime, you select six online Zoom sessions within twelv",events,event,https://www.alanranger.com/photography-services-near-me/rps-mentoring-photography-course,0.95
90,Can I get a refund if I can't attend?,"I couldn't find a specific guide for that yet.",advice,-,,0.1
91,What happens if it rains during outdoor workshops?,"**The Art of GARDEN PHOTOGRAPHY  - Coventry -  May and July** — £35

Elevate Your Garden Photography Skills With Garden",events,event,https://www.alanranger.com/photo-workshops-uk/garden-photography-workshop,0.95
92,How do I improve my photography skills?,"**HOW TO IMPROVE YOUR PHOTOGRAPHY COMPOSITION: A GUIDE**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/how-to-improve-your-photography-composition*

",advice,article,https://www.alanranger.com/blog-on-photography/5-stages-to-improve-your-photography,0.9
93,What makes a good photograph?,"**WHAT IS FRAMING IN PHOTOGRAPHY: A GUIDE FOR BEGINNERS**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/what-is-framing-in-photography*

",advice,article,https://www.alanranger.com/blog-on-photography/what-is-framing-in-photography,0.9
94,How do I find my photography style?,"**HOW TO FIND YOUR PHOTOGRAPHY STYLE: IDENTIFY AND DEVELOP IT**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/how-to-find-your-photography-style*

",advice,article,https://www.alanranger.com/blog-on-photography/how-to-find-your-photography-style,0.9
95,What are common photography mistakes?,"**12 WHAT ARE CAMERA DRIVE MODES: A GUIDE FOR BEGINNERS**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/what-are-camera-drive-modes*

",advice,article,https://www.alanranger.com/blog-on-photography/what-are-leading-lines-in-photography,0.9
96,How do I build a photography portfolio?,"**HOW TO IMPROVE YOUR PHOTOGRAPHY COMPOSITION: A GUIDE**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/how-to-improve-your-photography-composition*

",advice,article,https://www.alanranger.com/blog-on-photography/5-stages-to-improve-your-photography,0.9
97,What landscape photography workshops do you run near me?,"**SUFFOLK Landscape Photography Workshops - 21st - 23rd Nov** — £995

Join us for an inspiring Suffolk landscape photography workshop, where you'll have the opportunity to create stunning long exposur",events,event,https://www.alanranger.com/photo-workshops-uk/suffolk-landscape-photography-workshops,0.95
98,How do I book a one-day workshop?,"**The Art of GARDEN PHOTOGRAPHY  - Coventry -  May and July** — £35

Elevate Your Garden Photography Skills With Garden",events,event,https://www.alanranger.com/photo-workshops-uk/garden-photography-workshop,0.95
99,Do you run workshops in the Lake District or Wales?,"**WALES Photography Workshop | Lake Vyrnwy 29 - 30 Nov** — £595

Pistyll Rhaeadr is an enchanting waterfall in the Berwyn Mountains, just inside Wales, west of Oswestry and Shrewsbury. At 240ft (73m) ",events,event,https://www.alanranger.com/photo-workshops-uk/wales-photography-workshop-pistyll-rhaeadr,0.95
100,What's included in your photography workshops?,"**RPS Courses - Independent RPS Mentoring for RPS Distinctions** — £395

>RPS Courses - Independant RPS Mentoring for RPS Distinctions - Start anytime, you select six online Zoom sessions within twelv",events,event,https://www.alanranger.com/photography-services-near-me/rps-mentoring-photography-course,0.95
101,Are your workshops suitable for beginners?,"**Beginners Photography Course | 3 Weekly Evening Classes** — £150

Beginners Photography Course Coventry Summary - Camera Courses For Beginners - Key Information Location: 45 Hathaway Road, Tile Hill",events,event,https://www.alanranger.com/photography-services-near-me/beginners-photography-course,0.95
102,How many people are in each workshop group?,"**6** people can attend this workshop. This ensures everyone gets personalized attention and guidance from Alan.",events,event,https://www.alanranger.com/photo-workshops-uk/garden-photography-workshop,0.95
103,Do I need my own camera and tripod?,"**TRIPOD FOR CAMERA: GUIDE TO WHICH, WHY, HOW TO USE A TRIPOD**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/tripod-for-cameras-essential-guide*

",advice,event,https://www.alanranger.com/photography-services-near-me/photo-print-preparation-service-30min,0.9
104,What happens if it rains during a workshop?,"**The Art of GARDEN PHOTOGRAPHY  - Coventry -  May and July** — £35

Elevate Your Garden Photography Skills With Garden",events,event,https://www.alanranger.com/photo-workshops-uk/garden-photography-workshop,0.95
105,Can I get a private workshop for my photography club?,"**RPS Courses - Independent RPS Mentoring for RPS Distinctions** — £395

>RPS Courses - Independant RPS Mentoring for RPS Distinctions - Start anytime, you select six online Zoom sessions within twelv",events,event,https://www.alanranger.com/photography-services-near-me/rps-mentoring-photography-course,0.95
